id,categoria,pregunta,respuesta,rango_min,rango_max,informacion,fuente,activa
25_00012,Mix,¿Cuántos metros mide el puente Golden Gate?,2737,2500,3000,"El puente Golden Gate mide 2,737 metros de largo.",Ingeniería Civil,SI
25_00013,Mix,¿Cuántos escalones tiene la Torre Eiffel?,1665,1500,2000,"La Torre Eiffel tiene 1,665 escalones hasta la cima.",Arquitectura,SI
25_00014,Mix,¿Cuántos metros mide el Canal de Panamá?,80000,70000,90000,El Canal de Panamá mide aproximadamente 80 kilómetros de largo.,Ingeniería Civil,SI
25_00015,Mix,¿Cuántos metros mide el río Amazonas?,6400,6000,7000,"El río Amazonas mide aproximadamente 6,400 kilómetros de largo.",Geografía,SI
25_00016,Mix,¿Cuántos metros mide el Gran Cañón del Colorado?,446,400,500,El Gran Cañón del Colorado mide aproximadamente 446 kilómetros de largo.,Geografía,SI
25_00017,Mix,¿Cuántos metros mide el Monte Everest?,8848,8500,8900,"El Monte Everest mide 8,848 metros de altura.",Geografía,SI
25_00018,Mix,¿Cuántos metros mide la Gran Muralla China?,21196,20000,25000,"La Gran Muralla China mide aproximadamente 21,196 kilómetros de largo.",Geografía,SI
25_00019,Mix,¿Cuántos metros mide el edificio Empire State?,443,400,500,El Empire State Building mide 443 metros de altura (incluyendo la antena).,Arquitectura,SI
25_00020,Mix,¿Cuántos metros mide el puente más largo del mundo (Danyang-Kunshan)?,164800,100000,200000,El puente Danyang-Kunshan en China mide 164.8 kilómetros de largo.,Ingeniería Civil,SI
25_00021,Mix,¿Cuántos kilometros mide el túnel más largo del mundo (Túnel de San Gotardo)?,57,45,60,El Túnel de San Gotardo en Suiza mide 57 kilómetros de largo.,Ingeniería Civil,SI
25_00022,Mix,¿Cuántos metros mide el edificio más alto de América Latina (Torre Obispado)?,305,250,340,"La Torre Obispado en Monterrey, México, mide 305 metros de altura.",Arquitectura,SI
25_00023,Mix,¿Cuántos kilómetros mide el río Nilo?,6650,6000,7000,"El río Nilo mide aproximadamente 6,650 kilómetros de largo.",Geografía,SI
25_00024,Mix,¿Cuántos metros mide el edificio más alto de Europa (Lakhta Center)?,462,400,500,"El Lakhta Center en San Petersburgo, Rusia, mide 462 metros de altura.",Arquitectura,SI
25_00025,Mix,¿Cuántos metros mide el edificio más alto de África (Torre Mohammed VI)?,250,200,300,"La Torre Mohammed VI en Rabat, Marruecos, mide 250 metros de altura.",Arquitectura,SI
25_00026,Mix,¿Cuántos metros mide el edificio más alto de Australia (Q1 Tower)?,323,300,400,"El Q1 Tower en Gold Coast, Australia, mide 323 metros de altura.",Arquitectura,SI
25_00027,Mix,¿Cuántos metros mide el edificio más alto de Asia (Burj Khalifa)?,828,800,900,El Burj Khalifa en Dubái mide 828 metros de altura.,Arquitectura,SI
25_00028,Mix,¿Cuántos metros mide el edificio más alto de América del Norte (One World Trade Center)?,541,500,600,El One World Trade Center en Nueva York mide 541 metros de altura.,Arquitectura,SI
25_00029,Mix,¿Cuántos metros mide el edificio más alto de Sudamérica (Gran Torre Santiago)?,300,250,350,La Gran Torre Santiago en Chile mide 300 metros de altura.,Arquitectura,SI
25_00030,Mix,¿Cuántos metros mide el edificio más alto de Oceanía (Q1 Tower)?,323,300,400,"El Q1 Tower en Gold Coast, Australia, mide 323 metros de altura.",Arquitectura,SI
25_00031,Mix,¿Cuántos años puede tardar en digerirse un chicle?,7,5,10,"Aunque no se digiere completamente, un chicle puede permanecer en el sistema digestivo hasta 7 años.",Medicina,SI
25_00032,Mix,¿Cuántos corazones tiene una lombriz de tierra?,5,5,10,Una lombriz de tierra tiene 5 pares de corazones (10 en total).,Biología Animal,SI
25_00033,Mix,¿Cuántos ojos tiene una estrella de mar?,0,0,0,"Las estrellas de mar no tienen ojos, pero tienen manchas sensibles a la luz en los extremos de sus brazos.",Biología Marina,SI
25_00034,Mix,¿Cuántos kilogramos de comida puede comer un hipopótamo en un día?,36,30,40,Un hipopótamo puede comer hasta 36 kg de comida en un solo día.,Biología Animal,SI
25_00035,Mix,¿Cuántos litros de saliva produce un humano en su vida?,37800,30000,40000,"Un humano produce aproximadamente 37,800 litros de saliva en su vida.",Fisiología Humana,SI
25_00036,Mix,¿Cuántos años puede vivir una almeja de la especie Ming?,507,400,600,"La almeja Ming, encontrada en 2006, tenía 507 años, siendo el animal más longevo conocido.",Biología Marina,SI
25_00037,Mix,¿Cuántos kilómetros puede correr un avestruz en una hora?,70,60,80,"Un avestruz puede correr hasta 70 km/h, siendo la ave más rápida en tierra.",Biología Animal,SI
25_00038,Mix,¿Cuántos años puede vivir un árbol de pino bristlecone?,5000,4000,6000,"Los pinos bristlecone pueden vivir más de 5,000 años, siendo los árboles más longevos del mundo.",Botánica,SI
25_00039,Mix,¿Cuántos gramos de seda puede producir un gusano de seda en su vida?,500,200,800,Un gusano de seda puede producir aproximadamente 0.5 kg de seda en su vida.,Entomología,SI
25_00040,Mix,¿Cuántos años puede vivir una tortuga gigante de Galápagos?,150,120,180,Las tortugas gigantes de Galápagos pueden vivir más de 150 años.,Biología Animal,SI
25_00041,Mix,¿Cuántos kilómetros puede volar una abeja en su vida?,800,500,900,"Una abeja obrera puede volar hasta 800 km en su vida, recolectando néctar y polen.",Entomología,SI
25_00042,Mix,¿Cuántos años puede vivir un tiburón de Groenlandia?,400,300,500,"Los tiburones de Groenlandia pueden vivir más de 400 años, siendo los vertebrados más longevos.",Biología Marina,SI
25_00043,Mix,¿Cuántos kilogramos de miel puede producir una colmena en un año?,30,20,40,Una colmena puede producir hasta 30 kg de miel en un año.,Entomología,SI
25_00044,Mix,¿Cuántos años puede vivir un loro?,80,60,90,"Algunas especies de loros, como los guacamayos, pueden vivir hasta 80 años en cautiverio.",Biología Animal,SI
25_00045,Mix,¿Cuántos kilogramos de comida puede comer un elefante en un día?,150,100,200,Un elefante puede comer hasta 150 kg de comida en un solo día.,Biología Animal,SI
25_00046,Mix,¿Cuántos años puede vivir una ballena boreal?,200,150,250,"Las ballenas boreales pueden vivir más de 200 años, siendo los mamíferos más longevos.",Biología Marina,SI
25_00047,Mix,¿Cuántos kilómetros puede migrar una mariposa monarca?,4000,3000,5000,"Las mariposas monarca pueden migrar hasta 4,000 km desde Canadá hasta México.",Entomología,SI
25_00048,Mix,¿Cuántos años puede vivir un erizo de mar rojo?,200,150,250,El erizo de mar rojo puede vivir más de 200 años.,Biología Marina,SI
25_00049,Mix,¿Cuántos kilogramos de hojas puede comer un koala en un día?,1,1,1,Un koala puede comer hasta 1 kg de hojas de eucalipto en un día.,Biología Animal,SI
25_00050,Mix,¿Cuántos años puede vivir un molusco de la especie Arctica islandica?,500,400,600,"El molusco Arctica islandica puede vivir más de 500 años, siendo uno de los animales más longevos.",Biología Marina,SI
25_00051,Mix,¿Cuántos kilómetros puede recorrer un albatros en un solo vuelo?,16000,10000,20000,"Un albatros puede recorrer hasta 16,000 km en un solo vuelo sin aterrizar.",Ornitología,SI
25_00052,Mix,¿Cuántos latidos casi casi realiza el corazon de un colibri en reposo?,550,500,600,El corazón de un colibrí late entre 500 y 600 veces por minuto en reposo,Ornitología,SI
25_00053,Mix,¿Cuántos centimetros de altura puede alcanzar un hongo?,1000,700,1400,El hongo Phallus indusiatus puede crecer hasta 1 metro de altura.,Micología,SI
25_00054,Mix,¿Cuántos años puede vivir un elefante africano?,70,60,80,Los elefantes africanos pueden vivir entre 60 y 70 años en estado salvaje.,Biología Animal,SI
25_00055,Mix,¿Cuántos litros de agua puede beber un camello en 10 minutos?,100,80,120,Un camello puede beber hasta 100 litros de agua en 10 minutos.,Biología Animal,SI
25_00056,Mix,¿Cuántos años puede vivir un pingüino emperador?,20,15,25,Los pingüinos emperadores viven entre 15 y 20 años en estado salvaje.,Biología Animal,SI
25_00057,Mix,¿Cuántos corazones tiene un pulpo?,3,3,3,Los pulpos tienen 3 corazones: dos bombean sangre a las branquias y uno al cuerpo.,Biología Marina,SI
25_00058,Mix,¿Cuántos años puede vivir un lobo gris?,8,6,10,Los lobos grises viven entre 6 y 8 años en estado salvaje.,Biología Animal,SI
25_00059,Mix,¿Cuántas letras tiene la palabra más larga en español?,23,20,25,"La palabra más larga en español es electroencefalografista, con 23 letras.",RAE (Real Academia Española),SI
25_00060,Mix,¿En qué año se publicó la primera edición de Don Quijote de la Mancha?,1605,1600,1610,La primera edición de Don Quijote de la Mancha fue publicada en 1605.,Enciclopedia Británica,SI
25_00061,Mix,¿Cuántas Biblias tiene el mayor coleccionista del mundo?,1000,800,1200,"El mayor coleccionista de Biblias tiene más de 1,000 ejemplares en su colección.",Récords Guinness,SI
25_00062,Mix,¿Cuántos años tiene el libro más antiguo del mundo?,2300,2000,2500,"El libro más antiguo del mundo es el Libro de los Muertos egipcio, con más de 2,300 años.",Enciclopedia Británica,SI
25_00063,Mix,¿Cuántos idiomas se hablan en el mundo?,7000,6000,8000,"Se estima que hay alrededor de 7,000 idiomas en el mundo.",Enciclopedia Británica,SI
25_00064,Mix,¿En que año se fundo la RAE?,1713,1700,1750,La RAE fue fundada en 1713,RAE (Real Academia Española),SI
25_00065,Mix,¿Cuántos volúmenes tiene la Enciclopedia Británica?,32,28,35,La Enciclopedia Británica tiene 32 volúmenes en su edición más reciente.,Enciclopedia Británica,SI
25_00066,Mix,¿Cuántos años tiene el libro impreso más antiguo?,1150,1000,1200,"El libro impreso más antiguo es el Sutra del Diamante, impreso en el año 868.",Enciclopedia Británica,SI
25_00067,Mix,¿Cuántos años tiene el manuscrito más antiguo de la Biblia?,1700,1500,2000,"El Codex Sinaiticus, uno de los manuscritos más antiguos de la Biblia, tiene más de 1,700 años.",Enciclopedia Británica,SI
25_00068,Mix,¿Cuántos años tiene el diccionario más antiguo?,4000,3500,4500,"El diccionario más antiguo es una tablilla cuneiforme de Mesopotamia, con más de 4,000 años.",Enciclopedia Británica,SI
25_00069,Mix,¿Cuántos años tiene el libro más pequeño del mundo?,200,150,250,"El libro más pequeño del mundo, Old King Cole, mide 1 mm x 1 mm y tiene más de 200 años.",Récords Guinness,SI
25_00070,Mix,¿Cuántos años tiene el libro más grande del mundo?,20,10,30,"El libro más grande del mundo, This the Prophet Mohamed, mide 5 m x 8.06 m y fue creado en 2012.",Récords Guinness,SI
25_00071,Mix,¿Cuántos años tiene la colección de libros más antigua del mundo?,2700,2500,3000,"La Biblioteca de Asurbanipal en Nínive es la colección de libros más antigua, con más de 2,700 años.",Enciclopedia Británica,SI
25_00072,Mix,¿Cuántos años tiene el libro más vendido del mundo?,2000,1900,2100,"La Biblia es el libro más vendido del mundo, con más de 2,000 años de antigüedad.",Enciclopedia Británica,SI
25_00073,Mix,¿Cuántos años tiene el libro más robado del mundo?,1200,1000,1500,"El Evangelio de Lindisfarne, uno de los libros más robados, tiene más de 1,200 años.",Enciclopedia Británica,SI
25_00074,Mix,¿Cuántos años tiene el libro más caro del mundo?,550,400,700,"El Codex Leicester de Leonardo da Vinci, vendido por $30.8 millones, tiene más de 550 años.",Récords Guinness,SI
25_00075,Mix,¿Cuántos años tiene el libro más traducido del mundo?,2000,1900,2100,"La Biblia es el libro más traducido del mundo, con más de 2,000 años de antigüedad.",Enciclopedia Británica,SI
25_00076,Mix,¿Cuántos años tiene el libro más antiguo de América?,1000,900,1100,"El Códice Dresden, un libro maya, tiene más de 1,000 años.",Enciclopedia Británica,NO
25_00077,Mix,¿Cuántos años tiene el libro más antiguo de Europa?,1200,1100,1300,"El Libro de Kells, un manuscrito irlandés, tiene más de 1,200 años.",Enciclopedia Británica,NO
25_00078,Mix,¿Cuántos años tiene el libro más antiguo de Asia?,2300,2200,2400,"El Sutra del Diamante, impreso en China, tiene más de 2,300 años.",Enciclopedia Británica,NO
25_00079,Mix,¿Cuántos años tiene el libro más antiguo de África?,1500,1400,1600,"El Papiro de Ebers, un texto médico egipcio, tiene más de 1,500 años.",Enciclopedia Británica,NO
25_00080,Mix,¿Cuántos años tiene el libro más antiguo de Oceanía?,200,190,210,Los primeros libros impresos en Oceanía tienen más de 200 años.,Enciclopedia Británica,NO
25_00081,Mix,¿Cuántos años tiene el libro más antiguo de la Antártida?,100,90,110,Los primeros libros llevados a la Antártida tienen más de 100 años.,Enciclopedia Británica,NO
25_00082,Mix,¿Cuántos años tiene el libro más antiguo del espacio?,50,40,60,Los primeros libros llevados al espacio tienen más de 50 años.,Enciclopedia Británica,NO
25_00083,Mix,¿Cuántos años tiene el libro más antiguo de la Luna?,50,40,60,Los primeros libros llevados a la Luna tienen más de 50 años.,Enciclopedia Británica,NO
25_00084,Mix,RECORD GUINESS ¿Cuántos millones de discos ha vendido The Beatles en total?,600,500,700,The Beatles ha vendido más de 600 millones de discos en todo el mundo.,Récords Guinness,SI
25_00085,Mix,¿Cuántos años tenía Elvis Presley cuando murió?,42,40,45,Elvis Presley murió en 1977 a los 42 años.,Enciclopedia Británica,SI
25_00086,Mix,¿Cuántos Óscares ha ganado Walt Disney?,22,20,25,Walt Disney ganó 22 premios Óscar a lo largo de su carrera.,Academia de Artes y Ciencias Cinematográficas,SI
25_00087,Mix,¿Cuándo se pintó la Mona Lisa?,1503,1500,1510,La Mona Lisa fue pintada por Leonardo da Vinci alrededor de 1503-1506.,Museo del Louvre,SI
25_00088,Mix,RECORD GUINESS ¿Cuántos millones de discos ha vendido Michael Jackson en total?,400,350,450,Michael Jackson ha vendido más de 400 millones de discos en todo el mundo.,Récords Guinness,SI
25_00089,Mix,¿Cuántos años tenía Freddie Mercury cuando murió?,45,40,50,Freddie Mercury murió en 1991 a los 45 años.,Enciclopedia Británica,SI
25_00090,Mix,¿Cuántos episodios tiene la serie Friends?,236,230,240,La serie Friends tiene 236 episodios en total.,IMDb,SI
25_00091,Mix,RECORD GUINESS ¿Cuántos millones de discos ha vendido Madonna en total?,300,250,350,Madonna ha vendido más de 300 millones de discos en todo el mundo.,Récords Guinness,SI
25_00092,Mix,¿Cuántos años tenía Marilyn Monroe cuando murió?,36,32,40,Marilyn Monroe murió en 1962 a los 36 años.,Enciclopedia Británica,SI
25_00093,Mix,¿Cuántos Óscares ha ganado Meryl Streep?,3,3,3,Meryl Streep ha ganado 3 premios Óscar a lo largo de su carrera.,Academia de Artes y Ciencias Cinematográficas,SI
25_00094,Mix,¿Cuándo se pintó el cuadro La noche estrellada de Van Gogh?,1889,1880,1900,"La noche estrellada fue pintada por Van Gogh en 1889, por lo que en 2024 cumple 135 años.",Museo de Arte Moderno,SI
25_00095,Mix,RECORD GUINESS ¿Cuántos millones de discos ha vendido Queen en total?,300,250,350,Queen ha vendido más de 300 millones de discos en todo el mundo.,Récords Guinness,SI
25_00096,Mix,¿Cuántos años tenía John Lennon cuando murió?,40,35,45,John Lennon murió en 1980 a los 40 años.,Enciclopedia Británica,SI
25_00097,Mix,¿Cuántos episodios tiene la serie The Simpsons? (Hasta 2023),750,700,800,The Simpsons tiene más de 750 episodios en total (hasta 2023).,IMDb,SI
25_00098,Mix,¿Cuándo se pintó el cuadro El grito de Edvard Munch?,1893,1880,1900,"El grito fue pintado por Edvard Munch en 1893, por lo que en 2024 cumple 130 años.",Museo Munch,SI
25_00099,Mix,RECORD GUINESS ¿Cuántos millones de discos ha vendido ABBA en total?,150,120,180,ABBA ha vendido más de 150 millones de discos en todo el mundo.,Récords Guinness,SI
25_00100,Mix,¿Cuántos años tenía Whitney Houston cuando murió?,48,45,50,Whitney Houston murió en 2012 a los 48 años.,Enciclopedia Británica,SI
25_00101,Mix,¿Cuántos Óscares ha ganado Steven Spielberg?,3,3,3,Steven Spielberg ha ganado 3 premios Óscar a lo largo de su carrera.,Academia de Artes y Ciencias Cinematográficas,SI
25_00102,Mix,¿Cuándo se pintó el cuadro Guernica de Pablo Picasso?,1937,1930,1940,"Guernica fue pintado por Pablo Picasso en 1937, por lo que en 2024 cumple 87 años.",Museo Reina Sofía,SI
25_00103,Mix,RECORD GUINESS ¿Cuántos millones de discos ha vendido Elvis Presley en total?,600,500,700,Elvis Presley ha vendido más de 600 millones de discos en todo el mundo.,Récords Guinness,SI
25_00104,Mix,¿Cuántos años tenía Michael Jackson cuando lanzó Thriller?,24,23,25,Michael Jackson lanzó Thriller en 1982 a los 24 años.,Enciclopedia Británica,SI
25_00105,Mix,¿Cuántos episodios tiene la serie Breaking Bad?,62,55,70,Breaking Bad tiene 62 episodios en total.,IMDb,SI
25_00106,Mix,¿Cuándo se pintó el cuadro Las meninas de Diego Velázquez?,1656,1630,1680,"Las meninas fue pintado por Diego Velázquez en 1656, por lo que en 2024 cumple 365 años.",Museo del Prado,SI
25_00107,Mix,RECORD GUINESS ¿Cuántos millones de discos ha vendido Pink Floyd en total?,250,200,300,Pink Floyd ha vendido más de 250 millones de discos en todo el mundo.,Récords Guinness,SI
25_00108,Mix,¿Cuántos años tenía Freddie Mercury cuando lanzó Bohemian Rhapsody?,29,26,33,Freddie Mercury lanzó Bohemian Rhapsody en 1975 a los 29 años.,Enciclopedia Británica,SI
25_00109,Mix,¿Cuántos episodios tiene la serie Game of Thrones?,73,65,80,Game of Thrones tiene 73 episodios en total.,IMDb,SI
25_00110,Mix,¿Cuándo se pintó el cuadro La última cena de Leonardo da Vinci?,1498,1460,1500,"La última cena fue pintada por Leonardo da Vinci en 1498, por lo que en 2024 cumple 525 años.",Historia del Arte,SI
25_00111,Mix,RECORD GUINESS ¿Cuántos millones de discos ha vendido Led Zeppelin en total?,300,220,350,Led Zeppelin ha vendido más de 300 millones de discos en todo el mundo.,Récords Guinness,SI
25_00112,Mix,¿Cuántos años tenía Jimi Hendrix cuando murió?,27,25,30,Jimi Hendrix murió en 1970 a los 27 años.,Enciclopedia Británica,SI
25_00113,Geografia,¿Población casi-casi de China en millones?,1400,1000,1800,China es el país más poblado del mundo.,Banco Mundial,SI
25_00114,Geografia,¿Cuántos continentes tiene la Tierra?,7,6,8,La Tierra se divide en siete continentes.,National Geographic Society,SI
25_00115,Geografia,¿Longitud del Canal de Panamá en kilómetros?,77,70,90,El Canal de Panamá conecta el Atlántico y el Pacífico a través de unos 77 km.,Autoridad del Canal de Panamá,SI
25_00116,Geografia,¿Cuántos estados conforman los EE. UU.?,50,45,55,"Los Estados Unidos consisten en 50 estados, cada uno con su propio gobierno y leyes.",Gobierno de los Estados Unidos,SI
25_00117,Geografia,¿Cuántas islas conforman Hawái?,137,100,150,"Hawái está formado por 137 islas e islotes, aunque solo unas pocas están habitadas.",Servicio de Parques Nacionales de EE. UU.,SI
25_00118,Geografia,¿Cuántos países comparten frontera con Rusia?,14,12,16,"Rusia comparte fronteras terrestres con 14 países, siendo el país con más fronteras en el mundo.",CIA World Factbook,SI
25_00119,Geografia,¿Husos horarios que atraviesa el tren Transiberiano?,8,6,10,El ferrocarril Transiberiano atraviesa 8 husos horarios debido a la extensión geográfica de Rusia.,Ferrocarril Transiberiano,SI
25_00120,Geografia,"¿Altitud promedio de La Paz, Bolivia (m.s.n.m)?",3640,3400,3800,"La Paz se encuentra a unos 3,640 metros sobre el nivel del mar, una de las ciudades más altas del mundo.","Gobierno Municipal de La Paz, Bolivia",SI
25_00121,Geografia,¿Superficie casi-casi del océano Pacífico? (en millones de km cuadrados),165,110,200,"El océano Pacífico es el más grande del mundo, cubriendo casi-casi 165.25 millones de km².",National Oceanic and Atmospheric Administration,SI
25_00122,Geografia,¿Cuál es la latitud del Círculo Polar Antártico?,66,60,70,El Círculo Polar Antártico está ubicado a una latitud casi-casi de 66.5 grados al sur del ecuador.,National Geographic Society,SI
25_00123,Geografia,¿Cuál es la altitud del Monte Everest en metros?,8848,8700,8900,"El Monte Everest es la montaña más alta del mundo, con una altitud de casi-casi 8,848 metros.",National Geographic,SI
25_00124,Geografia,¿Cantidad de países en la Unión Europea (UE)?,27,22,30,"En el momento de corte en septiembre de 2021, la Unión Europea estaba compuesta por 27 países miembros.",Unión Europea,SI
25_00125,Geografia,¿Extensión del desierto del Sahara en km²?,9200,8000,10000,"El desierto del Sahara es el desierto cálido más grande del mundo, con una extensión de casi-casi 9.2 millones de km².",Enciclopedia Británica,SI
25_00126,Geografia,¿Cuántos volcanes tiene Indonesia?,130,100,150,"Indonesia es parte del Anillo de Fuego del Pacífico y alberga casi-casi 130 volcanes, muchos de ellos activos.",Centro de Investigación de Vulcanología y Mitigación de Riesgos de Indonesia (PVMBG),SI
25_00127,Geografia,¿Longitud casi-casi del río Amazonas en km?,6400,6000,7000,"El río Amazonas es uno de los ríos más largos del mundo, con una longitud de casi-casi 6,400 km.",Enciclopedia Británica,SI
25_00128,Geografia,¿Cuántos países conforman América del Sur?,12,10,14,"América del Sur está compuesta por 12 países diferentes, cada uno con su propia cultura y geografía.",CIA World Factbook,SI
25_00129,Geografia,"¿Cuál es la longitud casi-casi de la Ruta 40, una de las carreteras más largas de Argentina, en kilómetros?",5000,4500,5500,"La Ruta Nacional 40 se extiende por casi-casi 5,000 kilómetros a lo largo de Argentina, desde la Patagonia hasta el norte del país.",Ministerio de Transporte de Argentina,SI
25_00130,Geografia,¿Cuántos parques nacionales tiene Argentina?,30,28,35,Argentina cuenta con casi-casi 30 parques nacionales que protegen la diversa belleza natural y la vida silvestre del país.,Administración de Parques Nacionales de Argentina,SI
25_00131,Geografia,¿Altitud promedio de la ciudad de Salta en metros sobre el nivel del mar?,1187,1000,1200,"La ciudad de Salta se encuentra a una altitud promedio de casi-casi 1,187 metros sobre el nivel del mar.",Municipalidad de Salta,SI
25_00132,Geografia,"¿Cuál es la longitud del Río Paraná, uno de los ríos más importantes de Argentina, en kilómetros?",4880,4500,5000,"El Río Paraná tiene una longitud de casi-casi 4,880 kilómetros y es vital para la navegación y la agricultura en Argentina.",Enciclopedia Británica,SI
25_00133,Geografia,¿Cuántos glaciares se encuentran en el Parque Nacional Los Glaciares en la Patagonia argentina?,45,40,50,"El Parque Nacional Los Glaciares alberga casi-casi 45 glaciares, incluyendo el famoso Glaciar Perito Moreno.",Administración de Parques Nacionales de Argentina,SI
25_00134,Geografia,¿Extensión casi-casi del Lago Argentino en kilómetros cuadrados?,1467,1400,1500,"El Lago Argentino, ubicado en la provincia de Santa Cruz, tiene una superficie de casi-casi 1,467 kilómetros cuadrados.",Secretaría de Turismo de Santa Cruz,SI
25_00135,Geografia,¿Cuántas provincias conforman Argentina?,23,20,24,"Argentina está dividida en 23 provincias y la Ciudad Autónoma de Buenos Aires, que es la capital del país.",Gobierno de Argentina,SI
25_00136,Geografia,"¿Cuál es la altitud del Aconcagua, la montaña más alta de Argentina, en metros sobre el nivel del mar?",6960,6900,7000,"El Monte Aconcagua, en la provincia de Mendoza, es la montaña más alta de Argentina, con una altitud de 6,960 metros.",Parque Provincial Aconcagua,SI
25_00137,Geografia,¿Cuántos kilómetros de costa tiene Argentina a lo largo del océano Atlántico?,4900,4600,5100,"Argentina cuenta con casi-casi 4,900 kilómetros de costa a lo largo del océano Atlántico, incluyendo playas y acantilados.",Ministerio de Turismo y Deportes de Argentina,SI
25_00138,Geografia,¿Cuál es la población casi-casi de la Ciudad Autónoma de Buenos Aires?,3000000,2800000,3200000,"La Ciudad Autónoma de Buenos Aires tiene una población de casi-casi 3 millones de habitantes, lo que la convierte en la ciudad más poblada de Argentina.",Instituto Nacional de Estadística y Censos de Argentina,SI
25_00139,Geografia,"¿Cuál es la longitud casi-casi del río Amazonas en kilómetros, el río más largo de América del Sur?",6400,5000,7000,"El río Amazonas es uno de los ríos más largos del mundo y tiene una longitud de casi-casi 6,400 kilómetros.",Enciclopedia Británica,SI
25_00140,Geografia,¿Altitud promedio de la Ciudad de México en metros sobre el nivel del mar?,2240,2000,2500,"La Ciudad de México se encuentra a una altitud promedio de casi-casi 2,240 metros sobre el nivel del mar.",Instituto Nacional de Estadística y Geografía de México,SI
25_00141,Geografia,¿Cuántos países forman parte de América del Norte?,23,15,30,"América del Norte está compuesta por 23 países, incluyendo Canadá, Estados Unidos y México, entre otros.",Naciones Unidas,SI
25_00142,Geografia,"¿Extensión casi-casi de la Gran Barrera de Coral en Australia, el mayor arrecife de coral del mundo?",2300,2000,3000,"La Gran Barrera de Coral en Australia es el arrecife de coral más grande del mundo y se extiende por unos 2,300 kilómetros.",Great Barrier Reef Marine Park Authority,SI
25_00143,Geografia,"¿Cuál es la altitud promedio de la ciudad de Bogotá, la capital de Colombia, en metros sobre el nivel del mar?",2640,2000,3000,"Bogotá se encuentra a una altitud promedio de casi-casi 2,640 metros sobre el nivel del mar, en la región andina de Colombia.",Alcaldía Mayor de Bogotá,SI
25_00144,Geografia,¿Cantidad de estados en los Estados Unidos de América?,50,45,55,"Los Estados Unidos de América están compuestos por 50 estados, cada uno con su propio gobierno y leyes.",Gobierno de los Estados Unidos,SI
25_00145,Geografia,¿Cuántos océanos rodean América?,3,3,3,"América está rodeada por tres océanos: el océano Atlántico, el océano Pacífico y el océano Ártico.",National Oceanic and Atmospheric Administration (NOAA),SI
25_00146,Geografia,"¿Longitud casi-casi del Canal de Panamá en kilómetros, una importante vía de navegación entre América del Norte y América del Sur?",77,70,85,El Canal de Panamá conecta el océano Atlántico con el océano Pacífico y tiene una longitud de casi-casi 77 kilómetros.,Autoridad del Canal de Panamá,SI
25_00147,Geografia,"¿Cuál es la población casi-casi de Brasil, el país más grande de América del Sur?",211000000,200000000,250000000,Brasil es el país más grande de América del Sur y tiene una población de casi-casi 211 millones de habitantes.,Instituto Brasileiro de Geografia e Estatística,SI
25_00148,Geografia,¿Cantidad de países en América del Sur?,12,10,15,"América del Sur está compuesta por 12 países, cada uno con su propia cultura y geografía.",CIA World Factbook,SI
25_00149,Geografia,¿Cuál es la longitud casi-casi de la Gran Muralla China en kilómetros?,21000,15000,25000,"La Gran Muralla China es una impresionante estructura defensiva que se extiende por casi-casi 21,000 kilómetros.",UNESCO,SI
